vender,scan,inserts,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_cal_factor
GE_Revolution,GE_CCI_large_5,Low Density,83.684835571311,15.258773437504,0.0,19.6,18.057105614196466,4.2,3.142275470147189,0.2,0.0,0.0008848386753622677
GE_Revolution,GE_CCI_large_5,Medium Density,209.80813476568,37.908515258799,0.0,39.3,38.10918780159375,8.5,7.590931661938315,0.3,0.0,0.0008848386753622677
GE_Revolution,GE_CCI_large_5,High Density,327.10995556649203,89.64529394533601,0.0,78.5,88.67197591815653,17.0,18.64796510128639,0.6,0.0,0.0008848386753622677
GE_Revolution,GE_CCI_small_1,Low Density,82.492743896506,14.781936767582,0.0,19.6,19.164164197808077,4.2,3.331295086471434,0.2,0.0,0.0009096665764441353
GE_Revolution,GE_CCI_small_1,Medium Density,204.32451306157702,39.100606933604006,0.0,39.3,43.24719379673414,8.5,7.501107075812021,0.3,0.0,0.0009096665764441353
GE_Revolution,GE_CCI_small_1,High Density,247.478231689518,63.419277099626,0.0,78.5,88.08575332894901,17.0,18.658288820907387,0.6,0.0,0.0009096665764441353
GE_Revolution,GE_CCI_small_2,Low Density,80.108560546896,14.30510009766,0.0,19.6,18.032241551416753,4.2,3.400673004794646,0.2,0.0,0.0009211153369385057
GE_Revolution,GE_CCI_small_2,Medium Density,208.377624755914,37.193260253916,0.0,39.3,44.06270789034535,8.5,6.8381308160667285,0.3,0.0,0.0009211153369385057
GE_Revolution,GE_CCI_small_2,High Density,313.75852880867603,67.710807128924,0.0,78.5,94.01098481708053,17.0,18.167851211117153,0.6,0.0,0.0009211153369385057
GE_Revolution,GE_CCI_small_3,Low Density,62.94244042970401,14.781936767582001,0.0,19.6,17.51222961704701,4.2,3.1459675350288254,0.2,0.0,0.0009031593242901845
GE_Revolution,GE_CCI_small_3,Medium Density,216.96068481451002,46.491575317395004,0.0,39.3,41.56133188601993,8.5,8.542669201466877,0.3,0.0,0.0009031593242901845
GE_Revolution,GE_CCI_small_3,High Density,313.75852880867603,82.96958056642801,1.1920916748050001,78.5,91.53721177683718,17.0,18.823587747664774,0.6,0.39028515792195384,0.0009031593242901845
GE_Revolution,GE_CCI_small_4,Low Density,64.37295043947,14.781936767582001,0.0,19.6,17.747180340034674,4.2,3.381112715439753,0.2,0.0,0.0009012665464632671
GE_Revolution,GE_CCI_small_4,Medium Density,181.674771240282,39.100606933604,0.0,39.3,41.90506189915933,8.5,7.0770223884975065,0.3,0.0,0.0009012665464632671
GE_Revolution,GE_CCI_small_4,High Density,287.532511962966,61.988767089860005,1.907346679688,78.5,90.8334265694752,17.0,18.65628590634051,0.6,0.3701281634791849,0.0009012665464632671
GE_Revolution,GE_CCI_small_5,Low Density,59.60458374025,22.888160156256,0.0,19.6,18.728659278074964,4.2,3.8861561405266247,0.2,0.0,0.000931147497044372
GE_Revolution,GE_CCI_small_5,Medium Density,203.609258056694,40.054280273448,0.0,39.3,43.922666496020646,8.5,7.341627167507311,0.3,0.0,0.000931147497044372
GE_Revolution,GE_CCI_small_5,High Density,283.71781860359,90.59896728518001,1.1920916748050001,78.5,93.04130468407358,17.0,20.37595692475778,0.6,0.4390102123902542,0.000931147497044372
Philips_Brilliance_iCT,iCT_large_SER_0001,Low Density,70.09506225585938,4.0531158447265625,0.0,19.6,15.0965584424527,4.2,1.501760681824047,0.2,0.0,0.000782853695602452
Philips_Brilliance_iCT,iCT_large_SER_0001,Medium Density,180.24444580078125,27.894973754882812,0.0,39.3,39.33806671918964,8.5,5.335673951193641,0.3,0.0,0.000782853695602452
Philips_Brilliance_iCT,iCT_large_SER_0001,High Density,302.0763397216797,69.14138793945312,0.0,78.5,84.32313436164382,17.0,16.114530448252893,0.6,0.0,0.000782853695602452
